Scientific_name;Genera_timediv;Log_body_size ;log_lengthsize;Species_richness;log_speciesrich
Etmopterus gracilispinis;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus virens;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus polli;NA;2.920952258;3.824284091;40.00;3.688879454
Eucrossorhinus dasypogon;293;NA;5.902633333;1.00;0
Euprotomicrus bispinatus;NA;NA;3.417726684;1.00;0
Eusphyra blochii;NA;NA;5.225746674;1.00;0
Figaro boardmani;0.33;NA;4.110873864;2.00;0.693147181
Furgaleus macki;2.54;4.389808775;5.075173815;1.00;0
Galeocerdo cuvier;1.13;6.981501281;6.620073207;1.00;0
Galeorhinus galeus;22;5.444367225;5.262690189;1.00;0
Galeus sauteri;0.99;3.320593349;3.90197267;18.00;2.890371758
Galeus eastmani;0.99;3.320593349;3.90197267;18.00;2.890371758
Galeus melastomus;0.99;3.320593349;3.90197267;18.00;2.890371758
Galeus polli;0.99;3.320593349;3.90197267;18.00;2.890371758
Galeus arae;0.99;3.320593349;3.90197267;18.00;2.890371758
Galeus murinus;0.99;3.320593349;3.90197267;18.00;2.890371758
Ginglymostoma cirratum;NA;5.540624946;6.063785209;2.00;0.693147181
Glaucostegus typus;NA;NA;5.598421959;6.00;1.791759469
Glyphis glyphis;0.25;NA;4.880526609;5.00;1.609437912
Glyphis garricki;0.25;NA;4.880526609;5.00;1.609437912
Glyphis fowlerae;0.25;NA;4.880526609;5.00;1.609437912
Glyphis gangeticus;0.25;NA;4.880526609;5.00;1.609437912
Gollum attenuatus;173;NA;4.672828834;2.00;0.693147181
Gymnura japonica;NA;NA;4.343805422;14.00;2.63905733
Gymnura marmorata;NA;NA;4.343805422;14.00;2.63905733
Gymnura crebripunctata;NA;NA;4.343805422;14.00;2.63905733
Halaelurus buergeri;0.64;NA;3.813307032;7.00;1.945910149
Halaelurus natalensis;0.64;NA;3.813307032;7.00;1.945910149
Halaelurus lineatus;0.64;NA;3.813307032;7.00;1.945910149
Halaelurus quagga;0.64;NA;3.813307032;7.00;1.945910149
Haploblepharus edwardsii;0.64;NA;4.077537444;4.00;1.386294361
Hemigaleus microstoma;0.62;NA;4.718498871;2.00;0.693147181
Hemigaleus australiensis;0.62;NA;4.718498871;2.00;0.693147181
Hemipristis elongata;0.92;NA;5.480638923;2.00;0.693147181
Hemiscyllium ocellatum;NA;NA;4.672828834;9.00;2.197224577
Hemitriakis japanica;2.54;NA;4.559126247;6.00;1.791759469
Hemitriakis complicofasciata;2.54;NA;4.559126247;6.00;1.791759469
Heptranchias perlo;NA;NA;4.919980926;1.00;0
Heterodontus galeatus;NA;NA;4.989071116;9.00;2.197224577
Heterodontus portusjacksoni;NA;NA;4.989071116;9.00;2.197224577
Heterodontus zebra;NA;NA;4.989071116;9.00;2.197224577
Heterodontus mexicanus;NA;NA;4.989071116;9.00;2.197224577
Heterodontus francisci;NA;NA;4.989071116;9.00;2.197224577
Hexanchus griseus;NA;7.485759441;5.802118375;2.00;0.693147181
Hexanchus nakamurai;NA;7.485759441;5.802118375;2.00;0.693147181
Hexatrygon bickelli;NA;8.325033186;4.96284463;1.00;0
Himantura fai;NA;4.362966201;5.46255981;15.00;2.708050201
Himantura undulata;NA;4.362966201;5.46255981;15.00;2.708050201
Himantura gerrardi;NA;4.362966201;5.46255981;15.00;2.708050201
Himantura pacifica;NA;4.362966201;5.46255981;15.00;2.708050201
Holohalaelurus regani;0.93;NA;4.234106505;5.00;1.609437912
Holohalaelurus punctatus;0.93;NA;4.234106505;5.00;1.609437912
Hydrolagus bemisi;NA;NA;4.630837933;26.00;3.258096538
Hydrolagus trolli;NA;NA;4.630837933;26.00;3.258096538
Hydrolagus novaezealandiae;NA;NA;4.630837933;26.00;3.258096538
Hydrolagus melanophasma;NA;NA;4.630837933;26.00;3.258096538
Hydrolagus africanus;NA;NA;4.630837933;26.00;3.258096538
Hydrolagus lemures;NA;NA;4.630837933;26.00;3.258096538
Hydrolagus colliei;NA;NA;4.630837933;26.00;3.258096538
Hypogaleus hyugaensis;22;NA;4.630837933;1.00;0
Iago garricki;133;NA;4.025351691;2.00;0.693147181
Iago omanensis;133;NA;4.025351691;2.00;0.693147181
Insentiraja laxipella;NA;NA;4.027135813;2.00;0.693147181
Insentiraja subtilispinosa;NA;NA;4.027135813;2.00;0.693147181
Irolita waitii;NA;NA;3.860729711;2.00;0.693147181
Irolita westraliensis;NA;NA;3.860729711;2.00;0.693147181
Isistius brasiliensis;NA;NA;3.737669618;2.00;0.693147181
Isogomphodon oxyrhynchus;0.39;NA;5.075173815;1.00;0
Isurus paucus;108.55;7.121325613;6.012491914;2.00;0.693147181
Isurus oxyrinchus;108.55;7.121325613;6.012491914;2.00;0.693147181
Lamiopsis tephrodes;0.25;NA;5.004617222;2.00;0.693147181
Lamiopsis temminckii;0.25;NA;5.004617222;2.00;0.693147181
Lamna ditropis;251.85;6.42700711;5.791488055;2.00;0.693147181
Lamna nasus;251.85;6.42700711;5.791488055;2.00;0.693147181
Leptocharias smithii;1.13;NA;4.343805422;1.00;0
Leucoraja melitensis;NA;NA;4.491777499;15.00;2.708050201
Leucoraja naevus;NA;NA;4.491777499;15.00;2.708050201
Leucoraja wallacei;NA;NA;4.491777499;15.00;2.708050201
Leucoraja circularis;NA;NA;4.491777499;15.00;2.708050201
Leucoraja fullonica;NA;NA;4.491777499;15.00;2.708050201
Leucoraja ocellata;NA;NA;4.491777499;15.00;2.708050201
Leucoraja erinacea;NA;NA;4.491777499;15.00;2.708050201
Loxodon macrorhinus;0.36;NA;4.584967479;1.00;0
Malacoraja spinacidermis;NA;NA;4.182050143;4.00;1.386294361
Malacoraja senta;NA;NA;4.182050143;4.00;1.386294361
Manta alfredi;NA;NA;6.214608098;2.00;0.693147181
Megachasma pelagios;NA;NA;6.308098442;1.00;0
Miroscyllium sheikoi;NA;NA;3.761200116;1.00;0
Mitsukurina owstoni;NA;NA;6.424869024;1.00;0
Mobula alfredi ;NA;7.661195222;5.686975356;11.00;2.397895273
Mobula birostris ;NA;7.661195222;5.686975356;11.00;2.397895273
Mobula eregoodootenkee;NA;7.661195222;5.686975356;11.00;2.397895273
Mobula hypostoma;NA;7.661195222;5.686975356;11.00;2.397895273
Mobula japanica;NA;7.661195222;5.686975356;11.00;2.397895273
Mobula kuhlii;NA;7.661195222;5.686975356;11.00;2.397895273
Mobula mobular;NA;7.661195222;5.686975356;11.00;2.397895273
Mobula munkiana;NA;7.661195222;5.686975356;11.00;2.397895273
Mobula rochebrunei;NA;7.661195222;5.686975356;11.00;2.397895273
Mobula tarapacana;NA;7.661195222;5.686975356;11.00;2.397895273
